DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
243055,243055,Mk10,12:29:54 31-Jul-2023,Argos,B,41.6564,-69.7108,1522,2615,885,90,,,,,,
243055,243055,Mk10,13:36:56 31-Jul-2023,Argos,B,41.6620,-69.7033,1893,2847,1258,90,,,,,,
243055,243055,Mk10,14:04:07 31-Jul-2023,Argos,B,41.6673,-69.7047,1445,25038,83,62,,,,,,
243055,243055,Mk10,14:44:55 31-Jul-2023,Argos,B,41.6649,-69.7012,1681,5050,559,64,,,,,,
243055,243055,Mk10,15:19:22 31-Jul-2023,Argos,B,41.7495,-69.5400,3459,6346,1885,115,,,,,,
243055,243055,Mk10,16:03:02 31-Jul-2023,Argos,B,41.6577,-69.6965,2111,4370,1019,66,,,,,,
243055,243055,Mk10,16:58:41 31-Jul-2023,Argos,A,41.6245,-69.6556,260,2026,33,106,,,,,,
243055,243055,Mk10,22:04:37 31-Jul-2023,Argos,B,41.5802,-69.5858,2434,4171,1420,86,,,,,,
243055,243055,Mk10,22:10:45 31-Jul-2023,Argos,B,41.6062,-69.5611,1698,30048,95,134,,,,,,
243055,243055,Mk10,22:49:20 31-Jul-2023,Argos,B,41.5971,-69.5503,1784,4798,663,131,,,,,,
243055,243055,Mk10,23:28:16 31-Jul-2023,Argos,B,41.6264,-69.5757,1314,2169,795,102,,,,,,
243055,243055,Mk10,23:41:40 31-Jul-2023,Argos,B,41.6570,-69.6149,1039,5365,201,68,,,,,,
243055,243055,Mk10,00:06:48 01-Aug-2023,Argos,B,41.6572,-69.6174,1264,2965,538,70,,,,,,
243055,243055,Mk10,01:42:45 01-Aug-2023,Argos,B,41.6711,-69.6137,1631,4423,601,83,,,,,,
243055,243055,Mk10,02:44:50 01-Aug-2023,Argos,B,41.6689,-69.6097,1805,3934,828,83,,,,,,
243055,243055,Mk10,09:04:25 01-Aug-2023,Argos,B,41.5499,-69.5336,2575,6898,961,75,,,,,,
243055,243055,Mk10,10:18:36 01-Aug-2023,Argos,B,41.5511,-69.5165,2172,39035,120,61,,,,,,
