DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
CCS-0518,243060,Mk10,21:49:08.676170 02-Aug-2024,FastGPS,5,42.2894,-69.7276,,,,,,,,,,
CCS-0518,243060,Mk10,22:24:07.176163 02-Aug-2024,FastGPS,5,42.3195,-69.7100,,,,,,,,,,
CCS-0518,243060,Mk10,22:57:02.191663 02-Aug-2024,FastGPS,5,42.3213,-69.6990,,,,,,,,,,
CCS-0518,243060,Mk10,23:00:05 02-Aug-2024,Argos,B,42.1018,-69.9241,43347,84566,22218,87,,,,,,
CCS-0518,243060,Mk10,23:28:57.682504 02-Aug-2024,FastGPS,7,42.3396,-69.6809,,,,,,,,,,
CCS-0518,243060,Mk10,00:01:03.280473 03-Aug-2024,FastGPS,5,42.3375,-69.6734,,,,,,,,,,
CCS-0518,243060,Mk10,00:35:02 03-Aug-2024,Argos,A,42.1768,-69.3454,21401,52512,8721,122,,,,,,
CCS-0518,243060,Mk10,00:38:28 03-Aug-2024,Argos,1,42.3478,-69.7082,1154,2339,569,91,,,,,,
CCS-0518,243060,Mk10,00:58:32 03-Aug-2024,Argos,B,42.3386,-69.7001,5542,74628,411,71,,,,,,
CCS-0518,243060,Mk10,01:06:44.330750 03-Aug-2024,FastGPS,5,42.3618,-69.6251,,,,,,,,,,
CCS-0518,243060,Mk10,01:40:12.054953 03-Aug-2024,FastGPS,4,42.3672,-69.5948,,,,,,,,,,
CCS-0518,243060,Mk10,01:59:24 03-Aug-2024,Argos,B,42.3456,-69.5795,1486,10384,212,159,,,,,,
CCS-0518,243060,Mk10,02:27:16.823429 03-Aug-2024,FastGPS,4,42.3637,-69.5620,,,,,,,,,,
CCS-0518,243060,Mk10,02:43:23 03-Aug-2024,Argos,B,42.3450,-69.5475,1477,1847,1181,135,,,,,,
CCS-0518,243060,Mk10,02:48:07 03-Aug-2024,Argos,B,42.3508,-69.5358,1181,8882,157,155,,,,,,
CCS-0518,243060,Mk10,04:13:56.943707 03-Aug-2024,FastGPS,5,42.3783,-69.4992,,,,,,,,,,
CCS-0518,243060,Mk10,06:12:23.431589 03-Aug-2024,FastGPS,4,42.3827,-69.4415,,,,,,,,,,
CCS-0518,243060,Mk10,07:13:57.255135 03-Aug-2024,FastGPS,4,42.4031,-69.4049,,,,,,,,,,
CCS-0518,243060,Mk10,08:19:06.160931 03-Aug-2024,FastGPS,8,42.4286,-69.3858,,,,,,,,,,
CCS-0518,243060,Mk10,08:50:27.739327 03-Aug-2024,FastGPS,5,42.4511,-69.3793,,,,,,,,,,
CCS-0518,243060,Mk10,09:01:27 03-Aug-2024,Argos,A,42.4740,-69.3109,671,3597,125,120,,,,,,
CCS-0518,243060,Mk10,09:14:39 03-Aug-2024,Argos,B,42.4769,-69.3121,970,1892,497,90,,,,,,
CCS-0518,243060,Mk10,09:20:54.738751 03-Aug-2024,FastGPS,4,42.4722,-69.3568,,,,,,,,,,
