DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
243062,243062,Mk10,09:59:19 14-Aug-2023,,,1,42.0895,-70.1860,CRC 14479.29359,16:12:54 12-Aug-2023,Fast-GPS,115,136,254,25,4,205,140,117,141,136,235,219,154,129,14,193,229,178,136,206,242,180,15,,,,,,,,,
243062,243062,Mk10,10:32:43 14-Aug-2023,,,A,42.0546,-70.1412,MaxWetDry (11) < MinWetDry (17),10:32:43 14-Aug-2023,Status,4,172,156,168,42,9,224,50,231,209,192,5,9,244,68,46,24,152,201,43,231,30,159,102,232,246,20,,,,,
243062,243062,Mk10,10:32:59 14-Aug-2023,,,A,42.0546,-70.1412,CRC 16483.27562,,TimeSeries,212,6,63,218,153,41,235,28,22,39,95,175,131,68,31,120,111,211,207,202,9,38,97,195,56,49,153,14,134,76,204,
243062,243062,Mk10,11:51:10 14-Aug-2023,,,B,42.0892,-70.1612,CRC 8857.62361,19:00:00 13-Aug-2023,DiveDuration,66,41,158,27,48,52,132,8,0,0,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,13:03:31 14-Aug-2023,,,1,42.0860,-70.0785,CRC 38909.62500,05:00:00 13-Aug-2023,TimeSeries,217,127,222,26,88,2,5,85,93,85,84,68,138,171,186,170,136,170,168,136,138,191,235,9,72,210,239,85,93,203,137,
243062,243062,Mk10,13:03:52 14-Aug-2023,,,1,42.0860,-70.0785,CRC 17169.26189,,TAD,20,49,30,15,222,95,250,177,25,234,235,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,13:07:31 14-Aug-2023,,,1,42.0860,-70.0785,CRC 17473.61125,07:00:00 13-Aug-2023,DiveDuration,68,68,30,26,122,128,0,4,0,4,51,64,190,180,150,,,,,,,,,,,,,,,,,
243062,243062,Mk10,13:32:59 14-Aug-2023,,,1,42.1226,-70.1750,CRC 8553.64747,03:00:00 13-Aug-2023,DiveDepth,50,22,158,26,48,52,129,77,160,254,238,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,13:34:31 14-Aug-2023,,,1,42.1226,-70.1750,CRC 30691.23446,02:00:00 13-Aug-2023,DiveDuration,71,126,62,26,32,121,46,,,,,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,13:37:15 14-Aug-2023,,,1,42.1226,-70.1750,CRC 6826.37453,23:50:00 12-Aug-2023,Behavior,177,170,174,25,124,128,184,28,36,92,40,57,6,5,42,76,91,14,10,188,160,218,24,34,199,42,49,170,1,183,161,
243062,243062,Mk10,13:40:56 14-Aug-2023,,,1,42.1226,-70.1750,CRC 22664.60233,01:00:00 13-Aug-2023,TAD,21,136,142,26,17,120,24,193,140,255,255,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,13:37:15 14-Aug-2023,,,0,42.1066,-70.1092,CRC 6826.50107,23:50:00 12-Aug-2023,Behavior,177,170,174,25,124,128,184,28,36,92,40,57,6,5,42,76,91,14,10,188,160,218,24,34,199,42,49,170,19,129,238,
243062,243062,Mk10,13:58:29 14-Aug-2023,,,0,42.0492,-70.1992,CRC 11460.64502,01:00:00 13-Aug-2023,TimeSeries,210,204,78,26,29,172,228,117,82,114,21,43,168,219,234,249,221,254,235,222,234,227,119,174,137,171,155,247,104,120,175,
243062,243062,Mk10,15:10:00 14-Aug-2023,,,1,42.1067,-70.1045,CRC 42078.29770,17:00:00 04-Aug-2023,DiveDuration,74,69,238,9,27,127,71,142,101,215,45,182,61,125,166,,,,,,,,,,,,,,,,,
243062,243062,Mk10,15:15:11 14-Aug-2023,,,1,42.1067,-70.1045,CRC 27989.4863,00:09:38 11-Aug-2023,Fast-GPS,118,213,94,22,4,153,149,158,65,3,11,195,241,116,132,130,94,237,143,73,109,63,182,,,,,,,,,
243062,243062,Mk10,15:25:45 14-Aug-2023,,,1,42.0956,-70.1855,CRC 20036.22116,08:00:00 12-Aug-2023,Percent,100,228,78,24,128,58,130,0,8,0,0,32,64,0,0,,,,,,,,,,,,,,,,,
243062,243062,Mk10,17:03:20 14-Aug-2023,,,B,42.1345,-70.1267,CRC 59225.43257,02:00:00 11-Aug-2023,DiveDepth,62,117,158,22,40,180,172,31,40,156,160,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,17:19:54 14-Aug-2023,,,B,42.1618,-70.2210,CRC 9652.8308,16:00:00 11-Aug-2023,DiveDepth,50,91,78,23,0,53,131,4,16,0,1,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,21:03:41 14-Aug-2023,,,B,42.0329,-70.0172,CRC 51652.12152,19:32:00 11-Aug-2023,Behavior,188,156,78,23,56,0,224,10,71,165,204,122,36,12,134,83,5,153,251,69,109,164,39,33,148,249,179,54,201,147,110,
243062,243062,Mk10,23:03:09 14-Aug-2023,,,B,42.1064,-70.0756,CRC 7807.48972,14:40:20 13-Aug-2023,Fast-GPS,113,231,254,26,230,133,21,52,27,123,214,185,105,107,243,85,16,230,243,248,124,56,56,,,,,,,,,
