DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
BOF2,267426,Mk10,14:09:50 12-Aug-2024,Argos,B,44.0098,-66.9327,3441,6454,1834,82,,,,,,
BOF2,267426,Mk10,14:53:29 12-Aug-2024,Argos,B,43.9325,-66.9471,8103,10300,6374,80,,,,,,
BOF2,267426,Mk10,14:53:29 12-Aug-2024,Argos,B,43.9367,-66.9462,9026,11100,7338,17,,,,,,
BOF2,267426,Mk10,15:46:53 12-Aug-2024,Argos,A,43.7979,-67.0537,10096,65043,1567,84,,,,,,
BOF2,267426,Mk10,16:11:16 12-Aug-2024,Argos,A,43.8622,-66.8676,5628,123334,256,99,,,,,,
BOF2,267426,Mk10,16:28:51 12-Aug-2024,Argos,B,43.8326,-66.8994,6409,16744,2453,99,,,,,,
BOF2,267426,Mk10,16:28:51 12-Aug-2024,Argos,B,43.8481,-66.8948,9068,13854,5934,21,,,,,,
BOF2,267426,Mk10,17:31:50 12-Aug-2024,Argos,A,43.8789,-67.0343,10051,92566,1091,69,,,,,,
BOF2,267426,Mk10,17:53:15 12-Aug-2024,Argos,B,43.9079,-66.9211,4122,5320,3193,21,,,,,,
BOF2,267426,Mk10,19:32:48 12-Aug-2024,Argos,A,43.8253,-67.0391,1996,13142,303,130,,,,,,
BOF2,267426,Mk10,21:29:57 12-Aug-2024,Argos,B,43.7146,-67.1778,6209,10305,3740,95,,,,,,
BOF2,267426,Mk10,21:53:29 12-Aug-2024,Argos,B,43.7735,-67.1493,5681,13906,2320,86,,,,,,
BOF2,267426,Mk10,23:08:15 12-Aug-2024,Argos,B,43.7754,-67.1149,7229,18066,2892,102,,,,,,
BOF2,267426,Mk10,23:08:15 12-Aug-2024,Argos,B,43.8322,-67.0817,7336,26923,1998,91,,,,,,
BOF2,267426,Mk10,23:41:12 12-Aug-2024,Argos,B,43.8218,-67.0932,5370,21226,1358,94,,,,,,
BOF2,267426,Mk10,00:29:10 13-Aug-2024,Argos,1,43.8585,-67.0842,914,2830,295,74,,,,,,
BOF2,267426,Mk10,00:36:13 13-Aug-2024,Argos,3,43.8603,-67.0910,130,327,51,47,,,,,,
BOF2,267426,Mk10,00:40:33 13-Aug-2024,Argos,B,43.8711,-67.0843,2977,4153,2133,86,,,,,,
BOF2,267426,Mk10,00:45:15 13-Aug-2024,Argos,B,43.8706,-67.0850,3684,5174,2623,86,,,,,,
BOF2,267426,Mk10,01:20:05 13-Aug-2024,Argos,B,43.8729,-67.0980,5101,91974,282,82,,,,,,
BOF2,267426,Mk10,01:20:05 13-Aug-2024,Argos,B,43.8731,-67.0956,672,11973,37,82,,,,,,
BOF2,267426,Mk10,01:37:35 13-Aug-2024,Argos,B,43.8844,-67.0739,589,6200,55,103,,,,,,
BOF2,267426,Mk10,10:28:57 13-Aug-2024,Argos,B,43.8942,-67.0791,1519,9749,236,69,,,,,,
BOF2,267426,Mk10,10:54:21 13-Aug-2024,Argos,A,43.8517,-67.1384,401,1399,114,48,,,,,,
BOF2,267426,Mk10,11:17:07 13-Aug-2024,Argos,B,43.8632,-67.1487,1618,2347,1114,81,,,,,,
BOF2,267426,Mk10,11:52:12 13-Aug-2024,Argos,A,43.9285,-67.1741,1253,18618,84,88,,,,,,
BOF2,267426,Mk10,12:46:32 13-Aug-2024,Argos,B,43.8781,-67.1939,2415,3650,1597,80,,,,,,
BOF2,267426,Mk10,12:58:42 13-Aug-2024,Argos,B,43.8667,-67.2327,1767,2229,1400,120,,,,,,
BOF2,267426,Mk10,13:30:25 13-Aug-2024,Argos,B,43.8729,-67.2326,1996,2585,1540,116,,,,,,
BOF2,267426,Mk10,14:01:15 13-Aug-2024,Argos,0,43.9788,-67.3347,2863,12167,673,51,,,,,,
BOF2,267426,Mk10,14:30:25 13-Aug-2024,Argos,A,43.9962,-67.3179,2763,56186,135,97,,,,,,
BOF2,267426,Mk10,14:35:09 13-Aug-2024,Argos,0,43.9602,-67.0429,5081,47618,542,92,,,,,,
BOF2,267426,Mk10,15:28:25 13-Aug-2024,Argos,0,43.9551,-67.2205,3603,7930,1637,174,,,,,,
BOF2,267426,Mk10,15:35:09 13-Aug-2024,Argos,B,44.0334,-67.2259,2018,9124,446,97,,,,,,
BOF2,267426,Mk10,16:15:25 13-Aug-2024,Argos,B,44.0463,-67.1108,6962,16527,2932,95,,,,,,
BOF2,267426,Mk10,17:02:59 13-Aug-2024,Argos,B,44.0724,-67.1389,1938,3624,1036,112,,,,,,
BOF2,267426,Mk10,17:16:26 13-Aug-2024,Argos,A,44.1433,-67.1213,346,888,134,48,,,,,,
BOF2,267426,Mk10,20:30:25 13-Aug-2024,Argos,B,44.2668,-67.2623,2036,4698,881,86,,,,,,
BOF2,267426,Mk10,22:14:29 13-Aug-2024,Argos,B,44.4230,-67.0933,6444,33116,1253,102,,,,,,
BOF2,267426,Mk10,22:36:50 13-Aug-2024,Argos,2,44.3766,-66.7701,326,1422,74,98,,,,,,
BOF2,267426,Mk10,22:42:52 13-Aug-2024,Argos,B,44.3744,-66.7571,664,1314,335,22,,,,,,
BOF2,267426,Mk10,00:14:57 14-Aug-2024,Argos,B,44.4552,-66.7476,907,11229,73,102,,,,,,
BOF2,267426,Mk10,00:14:57 14-Aug-2024,Argos,B,44.4548,-66.7463,894,10967,72,102,,,,,,
BOF2,267426,Mk10,00:16:18 14-Aug-2024,Argos,B,44.4358,-66.6637,218,460,102,75,,,,,,
BOF2,267426,Mk10,00:21:28 14-Aug-2024,Argos,A,44.4407,-66.6632,286,2113,38,77,,,,,,
BOF2,267426,Mk10,00:53:57 14-Aug-2024,Argos,A,44.4866,-66.6282,965,2856,326,49,,,,,,
BOF2,267426,Mk10,00:58:28 14-Aug-2024,Argos,B,44.4749,-66.6673,878,1348,571,86,,,,,,
BOF2,267426,Mk10,01:22:06 14-Aug-2024,Argos,B,44.4881,-66.6684,955,2058,443,82,,,,,,
BOF2,267426,Mk10,01:53:38 14-Aug-2024,Argos,B,44.4848,-66.6623,1162,2149,628,78,,,,,,
BOF2,267426,Mk10,02:37:35 14-Aug-2024,Argos,B,44.4883,-66.6495,1131,9461,135,80,,,,,,
