DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
CCS-0521,234800,Mk10,DS,5,0,3,27,15,22:07:18 30-Jul-2022,NP,0,41.0517,-71.2604,41.0517,-71.2604,48,,401677790,-132
CCS-0521,234800,Mk10,DS,2,0,0,293,293,22:16:45 30-Jul-2022,NK,B,41.0517,-71.2132,41.0517,-71.2132,6,,401677803,-125
CCS-0521,234800,Mk10,DS,2,0,1,17,17,22:19:20 30-Jul-2022,A1,B,41.0607,-71.2246,41.0607,-71.2246,6,,401677776,-127
CCS-0521,234800,Mk10,DS,1,0,0,,,22:44:16 30-Jul-2022,SR,B,41.0630,-71.2618,41.0630,-71.2618,6,,401677805,-134
CCS-0521,234800,Mk10,DS,1,0,0,,,23:51:25 30-Jul-2022,NP,B,41.0667,-71.3310,41.0667,-71.3310,8,,401677803,-135
CCS-0521,234800,Mk10,DS,2,0,0,160,160,23:52:45 30-Jul-2022,A1,B,41.0498,-71.3247,41.0498,-71.3247,8,,401677774,-128
CCS-0521,234800,Mk10,DS,1,0,1,,,23:54:05 30-Jul-2022,NK,B,41.0569,-71.3258,41.0569,-71.3258,8,,401677802,-128
CCS-0521,234800,Mk10,DS,1,0,0,,,00:18:25 31-Jul-2022,SR,B,41.0499,-71.3243,41.0499,-71.3243,6,,401677776,-127
CCS-0521,234800,Mk10,DS,3,0,2,116,35,00:29:41 31-Jul-2022,MC,A,41.0789,-71.2521,41.0789,-71.2521,6,,401677805,-125
CCS-0521,234800,Mk10,DS,3,0,1,172,70,02:05:00 31-Jul-2022,MC,A,41.1084,-71.2791,41.1084,-71.2791,8,,401677800,-120
CCS-0521,234800,Mk10,DS,2,0,0,22,22,08:56:56 31-Jul-2022,A1,B,41.0909,-71.2839,41.0909,-71.2839,8,,401677791,-132
CCS-0521,234800,Mk10,DS,2,0,2,33,33,09:59:44 31-Jul-2022,SR,B,41.0531,-71.3405,41.0531,-71.3405,8,,401677778,-120
CCS-0521,234800,Mk10,DS,3,0,3,32,20,10:35:32 31-Jul-2022,A1,A,41.0529,-71.3390,41.0529,-71.3390,7,,401677789,-131
CCS-0521,234800,Mk10,DS,3,0,1,184,67,11:37:17 31-Jul-2022,SR,A,40.9782,-71.3143,40.9782,-71.3143,7,,401677798,-135
CCS-0521,234800,Mk10,DS,4,0,1,65,17,12:08:17 31-Jul-2022,NP,0,41.1003,-71.2699,41.1003,-71.2699,48,,401677806,-123
CCS-0521,234800,Mk10,DS,4,0,1,115,18,12:11:22 31-Jul-2022,NK,1,41.0600,-71.3534,41.0600,-71.3534,46,,401677781,-120
CCS-0521,234800,Mk10,DS,2,0,1,19,19,12:44:33 31-Jul-2022,MC,B,41.1318,-71.2903,41.1318,-71.2903,8,,401677810,-133
CCS-0521,234800,Mk10,DS,3,0,2,164,24,13:41:15 31-Jul-2022,NN,A,41.0926,-71.2272,41.0926,-71.2272,8,,401677803,-132
CCS-0521,234800,Mk10,DS,3,0,0,36,17,13:49:43 31-Jul-2022,NP,A,41.0629,-71.3377,41.0629,-71.3377,8,,401677803,-129
CCS-0521,234800,Mk10,DS,9,0,6,67,15,14:19:37 31-Jul-2022,MC,1,41.0025,-71.2012,41.0025,-71.2012,46,,401677797,-118
CCS-0521,234800,Mk10,DS,5,0,3,128,18,15:06:39 31-Jul-2022,MB,0,41.0500,-71.1724,41.0500,-71.1724,48,,401677777,-134
CCS-0521,234800,Mk10,DS,5,0,4,130,26,15:13:59 31-Jul-2022,NN,0,41.0599,-71.1438,41.0599,-71.1438,46,,401677788,-137
CCS-0521,234800,Mk10,DS,2,0,2,254,254,16:01:09 31-Jul-2022,MC,B,41.0658,-71.1322,41.0658,-71.1322,8,,401677779,-125
CCS-0521,234800,Mk10,DS,3,0,0,76,16,16:57:58 31-Jul-2022,NN,A,41.0721,-71.1122,41.0721,-71.1122,8,,401677759,-126
CCS-0521,234800,Mk10,DS,1,0,1,,,22:07:33 31-Jul-2022,A1,B,41.1952,-71.0893,41.1952,-71.0893,8,,401677776,-135
CCS-0521,234800,Mk10,DS,3,0,3,22,21,22:15:00 31-Jul-2022,SR,A,41.1074,-71.0895,41.1074,-71.0895,8,,401677757,-128
CCS-0521,234800,Mk10,DS,1,0,1,,,23:29:21 31-Jul-2022,NP,B,41.1464,-71.0665,41.1464,-71.0665,6,,401677800,-136
CCS-0521,234800,Mk10,DS,1,0,0,,,23:29:21 31-Jul-2022,NK,B,41.0798,-71.0068,41.0798,-71.0068,,,401677799,-126
CCS-0521,234800,Mk10,DS,1,0,0,,,01:17:41 01-Aug-2022,NP,B,41.1208,-70.9907,41.1208,-70.9907,8,,401677792,-133
CCS-0521,234800,Mk10,DS,7,0,6,81,30,09:33:47 01-Aug-2022,SR,1,41.0534,-71.0600,41.0534,-71.0600,58,,401677777,-126
CCS-0521,234800,Mk10,DS,2,0,1,235,235,11:04:04 01-Aug-2022,SR,B,41.1230,-71.0191,41.1230,-71.0191,8,,401677772,-126
